Pinyin Name,herb-id
CHEN DONG CAI LU ZHI,H797
CHEN HAO,H798
CHEN PI,H799
CHEN SHA,H800
CHEN XIANG,H801
CHEN XIAO MAI FEN,H802
CHEN ZONG TAN,H803
CHENG GAN CAO,H804
CHENG GAN SHENG MA,H805
CHENG KOU SHI DA GONG LAO,H806
CHENG KOU TANG SONG CAO,H807
CHENG LIU,H808
CHENG LIU YE YUAN BAI,H809
CHENG PI,H810
CHENG QIE ZI,H811
CHENG ZI,H812
CHENG ZI HE,H813
CHENG ZI PI,H814
CHI A MI,H815
CHI AN,H816
CHI BAN YAN HU SUO,H817
CHI CHI JUE MING,H818
CHI DOU,H819
CHI FU LING,H820
CHI GENG TENG,H821
CHI GUO HUANG QI,H822
CHI MA,H823
CHI NAN,H824
CHI SHAO,H825
CHI SHAO WILD,H826
CHI SHAO YAO,H827
CHI SONG,H828
CHI XIAO,H829
CHI XIAO DOU,H830
CHI YANG,H831
CHI YANG ZI,H832
CHI YE CAO,H833
CHI YE MEI DENG MU,H834
CHI YE SHUI LIAN,H835
CHI YE TIE ZI,H836
CHI YE TUO WU,H837
CHONG BAI LA,H838
CHONG BAN XUAN CAO,H839
CHONG BAN ZHI ZI,H840
CHONG CHUN YU,H841
CHONG LOU,H842
CHONG LOU PAI CAO,H843
CHONG MING BA JIAO LIAN,H844
CHONG SHENG RUAN SHAN HU,H845
CHONG WEI ZI,H846
CHONG YA YAO,H847
CHOU A WEI,H848
CHOU BAI,H849
CHOU CAO,H850
CHOU JIE CAO GEN,H851
CHOU LENG SHAN,H852
CHOU LING DAN,H853
CHOU LING DAN CAO,H854
CHOU MO LI,H855
CHOU MU DAN,H856
CHOU MU DAN GEN,H857
CHOU MU XU GEN,H858
CHOU SHAN YANG,H859
CHOU WEI HONG DOU,H860
CHOU WU TONG,H861
CHOU WU TONG GEN,H862
CHOU WU TONG YE,H863
CHU AI JU,H864
CHU BAI PI,H865
CHU CHONG JU,H866
CHU JU,H867
CHU SHI,H868
CHU SHI ZI,H869
CHU TU HAI CONG.,H870
CHU YE HUA JIAO,H871
CHU YE HUA JIAO GEN,H872
CHU YE HUA JIAO PI,H873
CHUAN BA JIAO LIAN,H874
CHUAN BAI HE,H875
CHUAN BEI MU,H876
CHUAN BEI MU LIU JIN GAO,H877
CHUAN BI FENG,H878
CHUAN BI XIE,H879
CHUAN CH I SHAO,H880
CHUAN CHAN JIU JIE LONG,H881
CHUAN CHI SHAO,H882
CHUAN DANG SHEN,H883
CHUAN DENG XIN CAO,H884
CHUAN DIAN JIN SI TAO,H885
CHUAN DIAN SHI DA GONG LAO,H886
CHUAN DIAN YIN YANG HUO,H887
CHUAN DONG ZHANG YA CAI,H888
CHUAN DU HUO,H889
CHUAN DU ZHONG,H890
CHUAN DUAN,H891
CHUAN E YIN YANG HUO,H892
CHUAN FANG FENG,H893
CHUAN GONG,H894
CHUAN HUANG LIAN,H895
CHUAN HUANG QIN,H896
